File: MNCLW00609.txt
Search Method: Trie (MWE + Single-Word)
Total runtime: 0.049817s
Found terms: 2659

Term                            Line                  Word Place          

төрийн ордон                    5                     1                   
төр, хувийн хэвшлийн түншлэл    6, 10, 705            1, 12, 5            
зураг төсөл                     61                    22                  
хариуцагч                       61, 408, 448, 474     43, 38, 9, 8        
                                618, 622, 631, 679    4, 21, 10, 12       
                                714                   24                  
хяналт тавих                    63, 76, 79, 93        56, 16, 13, 9       
                                108, 114, 137, 139    9, 8, 16, 9         
                                144, 150, 236, 393    13, 26, 13, 9       
                                395, 613, 652, 699    9, 15, 15, 28       
                                701, 703, 706         13, 5, 7            
хуулийн этгээдийн нэгдэл        65                    36                  
хуулийн этгээд                  65, 199, 379, 443     33, 12, 2, 37       
                                493, 564, 565, 565    9, 5, 5, 10         
                                566, 567, 569, 726    14, 14, 4, 5        
санал                           66, 97, 100, 112      25, 4, 23, 10       
                                129, 132, 133, 145    4, 8, 7, 7          
                                148, 149, 157, 244    7, 3, 3, 22         
                                245, 246, 261, 264    4, 6, 5, 25         
                                264, 265, 266, 277    39, 17, 27, 9       
                                284, 288, 289, 290    21, 27, 32, 20      
                                296, 299, 303, 306    15, 15, 5, 18       
                                306, 309, 309, 318    19, 5, 9, 20        
                                326, 342, 343, 345    4, 6, 7, 12         
                                346, 347, 359, 359    20, 9, 6, 11        
                                360, 363, 368, 368    3, 4, 2, 14         
                                371, 374, 511, 518    14, 26, 5, 18       
байгаль орчин                   68, 252, 483          14, 44, 4           
үнэлгээний шинжилгээ            68, 219               21, 4               
ачаа                            69, 221, 250, 253     13, 3, 14, 19       
                                306, 519              9, 4                
дунд хугацааны төсвийн хүрээний мэдэгдэл  75, 220, 455          8, 12, 20           
төсвийн төсөл                   75                    15                  
тайлан                          76, 285, 408, 654     7, 13, 28, 22       
                                696                   25                  
мэдээлэл                        76, 109, 109, 115     8, 3, 18, 13        
                                123, 140, 140, 141    42, 4, 12, 5        
                                141, 159, 166, 166    18, 27, 4, 25       
                                269, 270, 272, 275    10, 11, 6, 9        
                                276, 278, 298, 303    2, 17, 22, 18       
                                315, 319, 324, 325    15, 14, 8, 12       
                                326, 326, 334, 335    20, 31, 10, 16      
                                336, 339, 341, 350    15, 5, 16, 10       
                                354, 385, 408, 408    5, 11, 20, 29       
                                456, 461, 484, 486    20, 6, 14, 6        
                                493, 493, 658, 665    15, 22, 14, 12      
                                667, 672, 673, 676    6, 13, 4, 22        
                                679, 679, 680, 680    8, 31, 12, 19       
                                685, 686, 689, 693    7, 17, 4, 12        
                                697                   14                  
төрөөс үзүүлэх дэмжлэг          81, 120, 260, 281     2, 9, 4, 4          
                                288, 336, 399, 438    5, 11, 8, 2         
                                467, 469              16, 7               
засгийн газрын баталгаа         81, 91, 124, 289      5, 11, 11, 11       
                                467, 680              13, 14              
гэрээ байгуулах эрх олгох       83                    2                   
бүрдэл                          89, 106, 368          10, 10, 8           
зохиогч                         93, 108, 325, 561     5, 5, 3, 12         
                                671                   33                  
баталгаажуулах                  97, 477               21, 28              
дүгнэлт                         99, 118, 120, 123     9, 20, 32, 26       
                                132, 179, 205, 246    21, 5, 3, 26        
                                250, 253, 258, 262    22, 33, 10, 12      
                                268, 285, 287, 288    30, 14, 19, 28      
                                289, 364, 372, 372    33, 22, 23, 29      
                                373, 374, 395, 654    18, 27, 12, 23      
                                701, 714              15, 17              
сангийн хөрөнгө                 100                   6                   
арга хэмжээ                     100, 231, 282, 488    12, 10, 18, 13      
                                534, 544, 699         12, 29, 35          
төрийн түншлэгч                 102, 136, 151, 158    7, 4, 15, 18        
                                196, 341, 356, 381    3, 3, 4, 13         
                                392, 408, 443, 444    2, 11, 5, 3         
                                484, 488, 578, 591    4, 15, 30, 12       
                                606, 613, 632, 659    26, 8, 5, 11        
                                668, 669, 679, 696    14, 11, 20, 28      
                                699, 720              4, 3                
хэлэлцээр                       102, 111, 123, 135    3, 8, 24, 13        
                                151, 237, 361, 650    11, 9, 9, 6         
мэдээллийн нэгдсэн сан          115, 140, 166, 663    9, 14, 27, 9        
                                672, 678, 678, 686    18, 13, 17, 38      
гишүүн                          115, 126, 252, 322    6, 7, 60, 11        
                                423, 444              22, 20              
төсвийн эрсдэлийн үнэлгээ       118, 264              4, 6                
засгийн газрын өрийн баталгаа   120, 424, 425, 425    13, 7, 12, 21       
                                426                   5                   
нийслэл                         132, 142, 143, 147    2, 4, 2, 2          
                                198, 244, 252, 444    2, 9, 26, 27        
төслийн баримт бичиг            140                   5                   
цахим хуудас                    141, 324, 655, 667    19, 18, 29, 2       
                                672, 678              21, 20              
оролцогч                        141, 166, 309, 325    3, 18, 11, 5        
                                338, 343, 344, 346    8, 24, 10, 6        
                                347, 353, 360, 361    5, 9, 9, 5          
                                362, 366, 367, 368    24, 5, 11, 12       
                                371, 372, 375, 376    16, 19, 5, 6        
                                382, 383, 384, 385    3, 3, 4, 4          
                                386, 406, 411, 413    4, 4, 4, 4          
                                712, 714, 714, 715    17, 9, 23, 13       
                                723                   3                   
заавар                          141, 353              11, 11              
эрсдэлийн шинжилгээ             158, 258, 262, 277    15, 8, 10, 5        
                                418                   5                   
зөвлөх                          158, 252, 252, 712    22, 55, 59, 25      
хөрөнгө оруулагч                160, 224              12, 4               
чадамж                          160                   8                   
танилцуулга                     160, 276, 324, 335    19, 3, 24, 3        
                                689                   7                   
шинжээч                         161, 499, 725         6, 9, 12            
түншлэлийн төсөл хөгжүүлэх сан  164, 592, 634, 636    10, 28, 1, 27       
этгээд                          166, 196, 200, 306    19, 2, 9, 21        
                                308, 356, 381, 381    5, 11, 2, 15        
                                384, 386, 387, 388    5, 5, 14, 24        
                                408, 474, 509, 516    13, 10, 25, 16      
                                572, 573, 605, 631    3, 3, 26, 3         
                                668, 669, 684, 696    37, 13, 6, 30       
                                699, 720, 723, 727    6, 28, 19, 4        
төрийн өмчит үйлдвэрийн газар   167                   7                   
ажилгүй                         167                   4                   
төсвийн хөрөнгө оруулалт        194                   14                  
түншлэлийн зүйл                 216, 397, 433, 461    5, 7, 3, 3          
                                474, 492, 547, 575    3, 5, 14, 6         
                                577, 578, 579         6, 11, 5            
инноваци                        222, 405, 624         23, 6, 20           
санхүүжүүлэгч                   224, 356, 412, 443    7, 7, 3, 36         
                                604, 605, 626         25, 7, 9            
орц                             230                   4                   
эрсдэлийг бууруулах             233                   6                   
үнэ цэнэ                        254, 477              2, 4                
мэргэжилтэн                     272                   5                   
бэлэн байдал                    276, 510              6, 9                
жендэрийн эрх тэгш байдал       282                   6                   
сорилт                          282                   15                  
тариф                           287, 472, 597, 599    11, 12, 15, 10      
                                600                   10                  
зарлаг                          292, 312, 313, 314    18, 3, 6, 37        
                                315, 316, 317, 317    4, 2, 4, 20         
                                318, 320, 326, 340    2, 5, 24, 3         
                                379                   7                   
оюуны өмч                       300, 303, 436, 509    3, 10, 17, 9        
                                576, 624              11, 22              
өөрийн хөрөнгө                  304, 404, 514, 569    13, 8, 16, 10       
                                583, 622, 691         4, 22, 16           
бусад оролцогч                  308, 327, 370         10, 15, 22          
ил тод байх зарчим              325                   21                  
шалгуур үзүүлэлт                334, 349, 400, 491    12, 4, 9, 9         
техникийн тодорхойлолт          335                   7                   
мэдэгдэл                        344, 347, 360, 713    18, 11, 10, 7       
гэрээний гол нөхцөл             351, 367, 526         2, 37, 7            
хүсэлт                          362, 363, 519, 533    29, 38, 34, 10      
                                714                   10                  
гэрээ байгуулах санал           364                   19                  
аж ахуйн үйл ажиллагаа          378                   11                  
эрх бүхий албан тушаалтан       381, 566              6, 18               
хамаарал бүхий этгээд           381                   22                  
эцсийн өмчлөгч                  382                   5                   
охин компани                    382                   9                   
хувийн ашиг сонирхол            388                   5                   
ашиг сонирхлын зөрчил           388, 388              9, 18               
аудитын байгууллага             393, 654              18, 12              
ноу-хау                         405, 624              7, 21               
төсвийн тусгай шаардлага        425                   39                  
газар эзэмших                   429, 551, 559         6, 7, 3             
даатгагч                        433                   5                   
төсөл хэрэгжүүлэгч              443, 695, 696, 697    32, 5, 5, 5         
гарын үсэг зурах                444                   30                  
гүйцэтгэх ажил                  447, 481, 546         9, 4, 16            
мэдээллийн сан                  454, 677              8, 4                
дүрэм                           462, 475, 505, 569    6, 8, 3, 18         
                                619                   16                  
санхүүгийн чадавхад нийцсэн     468                   9                   
туслан гүйцэтгэгч               474                   12                  
эрүүл ахуй                      475                   2                   
аюул                            475, 612, 622         4, 18, 6            
гадаад валют                    476, 476              11, 16              
гадаадын валют                  476, 476              11, 16              
төсөл хэрэгжүүлэх баталгаа      479, 581, 592         7, 7, 20            
үнэт цаас                       479                   10                  
даатгалын гэрээ                 479                   16                  
хяналт шалгалт                  480, 654              8, 19               
нэгдмэл сонирхолтой этгээд      485                   20                  
хэлцэл                          485                   15                  
мэдээллийг нууцлах              486                   11                  
төлбөр тооцоо                   492                   19                  
эрх бүхий этгээд                493                   18                  
гамшгаас хамгаалах              510                   5                   
тоног төхөөрөмж                 523, 691              9, 14               
засгийн газрын зөвшөөрөл        530                   13                  
үл хөдлөх хөрөнгө               545, 624, 691         14, 17, 10          
гуравдагч этгээд                556, 560, 607, 608    4, 21, 36, 10       
                                627                   16                  
дамжин өнгөрөгч                 556                   9                   
төрийн бус байгууллага          559, 578              7, 33               
хураагч                         559                   12                  
тусгай зориулалтын компани      561, 562, 563, 564    8, 16, 2, 9         
                                567, 568, 591, 607    21, 4, 8, 26        
нийтийн өмч                     589                   14                  
борлуулалт                      589                   28                  
зээлдүүлэгч                     604, 605              27, 9               
барилга байгууламжийн ажил      607                   20                  
барилга, байгууламжийн ажил     607                   20                  
мэргэжлийн байгууллага          613, 625              13, 34              
үйлчлүүлэгч                     617                   2                   
технологи                       630                   9                   
эрх шилжүүлэн авагч             631                   11                  
ажилтан                         631                   18                  
үйл ажиллагааны зардал          636, 651              22, 5               
хандив                          642                   8                   
төрийн аудитын байгууллага      654                   4                   
зарлага                         655                   25                  
ил тод, нээлттэй байх           658                   21                  
гадаадын хөрөнгө оруулагч       668                   33                  
зөвлөмж                         670, 701              27, 16              
удирдамж@@                      670                   28                  
агуулах                         670, 686              30, 18              
мэдээ                           679                   7                   
санхүүгийн тайлан               694, 695, 697         6, 9, 10            
сангийн хөрөнгийн удирдлага     704                   11                  
гомдол                          710, 712, 713, 715    7, 26, 14, 18       
зөвлөл                          710, 711, 715         22, 5, 9            
шүүгч                           718                   19                  
шүүх                            718                   19                  
нэхэмжлэгч                      722                   19                  
торгууль                        727                   5                   
