	id	leg_term	desc	pos_tag	term_root
812	7160015	биет бус хөрөнгө	аж ахуйн нэгжийн орлогын албан татварын тухай хуулийн 412-т заасныг	NM	хөрөнгө
812	7160015	биет бус хөрөнг	аж ахуйн нэгжийн орлогын албан татварын тухай хуулийн 412-т заасныг	NM	хөрөнгө
805	5440017	соёлын үйлчилгээ	арилжааны үнэ цэнээс үл хамааран, хүний соёлын хэрэгцээг хангах зорилгоор үзүүлж байгаа соёлын илэрхийллийг агуулсан үйлчилгээг	NM	үйлчилгээ
795	400029	стандартын хороо	нягтлан бодох бүртгэлийн тухай хуулийн 211-д заасан хороог	NM	хороо
794	6930018	үнэ цэнийн суурь	үнэлгээний зорилго, зориулалтад нийцүүлэн сонгож, үнэ цэнийг тооцоолон гаргахад ашиглах урьдчилсан нөхцөлийг	NM	суурь
794	6930018	үнэ цэнийн суури	үнэлгээний зорилго, зориулалтад нийцүүлэн сонгож, үнэ цэнийг тооцоолон гаргахад ашиглах урьдчилсан нөхцөлийг	NM	суурь
794	6930018	үнэ цэнийн суур	үнэлгээний зорилго, зориулалтад нийцүүлэн сонгож, үнэ цэнийг тооцоолон гаргахад ашиглах урьдчилсан нөхцөлийг	NM	суурь
793	7060027	техникийн нөхцөл	шинээр барих, өргөтгөх барилга байгууламжийг ус хангамжийн болон ариутгах татуургын шугам сүлжээнд холбоход тавигдах шаардлага, нөхцөлийг тусгасан техникийн баримт бичгийг	NM	нөхцөл
793	7060027	техникийн нөхцл	шинээр барих, өргөтгөх барилга байгууламжийг ус хангамжийн болон ариутгах татуургын шугам сүлжээнд холбоход тавигдах шаардлага, нөхцөлийг тусгасан техникийн баримт бичгийг	NM	нөхцөл
775	2440027	зээлийн лавлагаа	зээлийн мэдээллийн сангаас цахим болон бичгийн хэлбэрээр хэрэглэгчид өгөх зээлийн мэдээлэл болон зээлийн түүхийн мэдээллийг	NM	лавлагаа
776	3140013	батлан хамгаалах	монгол улсын тусгаар тогтнол, бүрэн эрхт байдал, нутаг дэвсгэрийн бүрэн бүтэн байдлыг гадны зэвсэгт халдлага, түрэмгийллээс хамгаалахад улсын бэлэн байдлыг хангах, хамгаалах зорилго бүхий улс төр, эдийн засаг, нийгэм, эрх зүй, мэдээллийн болон цэргийн нэгдмэл арга хэмжээг	NM	хамгаалах
776	3140013	батлан хамгаалх	монгол улсын тусгаар тогтнол, бүрэн эрхт байдал, нутаг дэвсгэрийн бүрэн бүтэн байдлыг гадны зэвсэгт халдлага, түрэмгийллээс хамгаалахад улсын бэлэн байдлыг хангах, хамгаалах зорилго бүхий улс төр, эдийн засаг, нийгэм, эрх зүй, мэдээллийн болон цэргийн нэгдмэл арга хэмжээг	NM	хамгаалах
777	40035	магадлашгүй ажил	авто зам, замын байгууламжийн барилгын ажил гүйцэтгэх явцад зайлшгүй хийгдэх нэмэлт ажлыг	NM	ажил
777	40035	магадлашгүй ажл	авто зам, замын байгууламжийн барилгын ажил гүйцэтгэх явцад зайлшгүй хийгдэх нэмэлт ажлыг	NM	ажил
778	7810022	цөмийн эрчим хүч	эрчим хүчний тухай хуулийн 3122-т заасныг	NM	хүч
779	4880047	агро-ойн аж ахуй	тухайн нутаг дэвсгэрийн хөрс, уур амьсгал, ус зүйн нөхцөлийг сайжруулах, таримал болон байгалийн ургамлын ургах орчныг дэмжсэн аж ахуйн арга хэмжээг	NM	ахуй
780	3500020	найруулгын санал	хууль, улсын их хурлын бусад шийдвэрийн төслийн үзэл баримтлал, агуулга, зарчмыг алдагдуулахгүйгээр зүйл, хэсэг, заалтыг уялдуулан дэс дараалал, бүтцэд өөрчлөлт оруулах, нэр томьёог жигдлэх, үг, өгүүлбэр, хэллэгийг монгол хэлний дүрэмд нийцүүлэхтэй холбоотой саналыг	NM	санал
780	3500020	найруулгын санл	хууль, улсын их хурлын бусад шийдвэрийн төслийн үзэл баримтлал, агуулга, зарчмыг алдагдуулахгүйгээр зүйл, хэсэг, заалтыг уялдуулан дэс дараалал, бүтцэд өөрчлөлт оруулах, нэр томьёог жигдлэх, үг, өгүүлбэр, хэллэгийг монгол хэлний дүрэмд нийцүүлэхтэй холбоотой саналыг	NM	санал
781	5720233	эрх бүхий этгээд	монгол улсын хувьд санхүү, төсвийн асуудал эрхэлсэн засгийн газрын гишүүн, эсхүл түүний томилсон эрх бүхий этгээд, гадаад улсын хувьд хэлэлцээрийн хүрээнд тодорхойлсон хэлэлцэн тохирогч талын томилсон эрх бүхий этгээдийг	NM	этгээд
782	2450021	инновацийн грант	иргэн, хуулийн этгээд, гадаадын болон олон улсын байгууллага урьдчилан нөхцөл, болзол тавьсны үндсэн дээр инновацийн тодорхой төсөлд буцалтгүй олгож байгаа мөнгөн болон бусад хөрөнгийг	NM	грант
783	270018	нэн ховор амьтан	тархац нутагтаа бүхэлдээ, эсхүл ихэнх хэсэгт тоо толгой эрс цөөрсөн, ашиглах нөөцгүй, устах аюулд орсон амьтныг	NM	амьтан
783	270018	нэн ховор амьтн	тархац нутагтаа бүхэлдээ, эсхүл ихэнх хэсэгт тоо толгой эрс цөөрсөн, ашиглах нөөцгүй, устах аюулд орсон амьтныг	NM	амьтан
784	6550053	холбогдох этгээд	дараах этгээдийг:	NM	этгээд
785	6630047	гол мөрний татам	голын голдирлын эргээс эхний дэнж хүртэлх нугын зурвас бүсийг	NM	татам
785	6630047	гол мөрний татм	голын голдирлын эргээс эхний дэнж хүртэлх нугын зурвас бүсийг	NM	татам
786	4880043	ойн үрийн мужлал	экологийн болон өндөршлийн хувьд төстэй бүс нутагт орших удамшил, гадаад илрэлийн хувьд адил шинж тэмдэг бүхий байгалийн ойн газар нутгийг	NM	мужлал
786	4880043	ойн үрийн мужлл	экологийн болон өндөршлийн хувьд төстэй бүс нутагт орших удамшил, гадаад илрэлийн хувьд адил шинж тэмдэг бүхий байгалийн ойн газар нутгийг	NM	мужлал
787	1800017	хэрэг гүйцэтгэгч	хариуцагчийг татан буулгах, эсхүл дахин хөрөнгөжүүлэх ажлыг эрхлэн гүйцэтгэгч, дахин хөрөнгөжүүлэх ажиллагаанд хяналт тавих, хариуцагчийн эд хөрөнгийг хамгаалах эрхтэйгээр нэхэмжлэгчдийн хурлаас санал болгосноор шүүхийн томилсон этгээдийг	NM	гүйцэтгэгч
788	5470021	байгалийн гамшиг	хүний үйл ажиллагаанаас үл хамаарах аюулт үзэгдлийн улмаас олон хүний эрүүл мэнд, амь нас хохирох, мал, амьтан олноор хорогдох, эд хөрөнгө, хүрээлэн байгаа орчинд улс, орон нутгийн дотоод нөөц боломжоос давсан хохирол учрах буюу байгалийн хүчний үйлчлэлийн үр дагавар болох онцгой нөхцөл байдлыг	NM	гамшиг
788	5470021	байгалийн гамшг	хүний үйл ажиллагаанаас үл хамаарах аюулт үзэгдлийн улмаас олон хүний эрүүл мэнд, амь нас хохирох, мал, амьтан олноор хорогдох, эд хөрөнгө, хүрээлэн байгаа орчинд улс, орон нутгийн дотоод нөөц боломжоос давсан хохирол учрах буюу байгалийн хүчний үйлчлэлийн үр дагавар болох онцгой нөхцөл байдлыг	NM	гамшиг
789	8260021	анхан шатны шүүх	эрүүгийн хэргийг анхан шатны журмаар хянан шийдвэрлүүлэхээр хуулиар харьяалуулсан шүүхийг	NM	шүүх
790	5750020	татварын бүртгэл	албан татвар, төлбөр, хураамж, нийгмийн даатгалын шимтгэлтэй холбоотой ажил гүйлгээ, татварын нөлөөллийг тооцох, бүртгэх үйл ажиллагааг	NM	бүртгэл
790	5750020	татварын бүртгл	албан татвар, төлбөр, хураамж, нийгмийн даатгалын шимтгэлтэй холбоотой ажил гүйлгээ, татварын нөлөөллийг тооцох, бүртгэх үйл ажиллагааг	NM	бүртгэл
791	2410041	нийтэд дамжуулах	бүтээл, хамаарах эрхийн объектыг утастай, эсхүл утасгүй сүлжээгээр аливаа хэлбэрээр, хэрэглэгчийн өөрийн сонгосон цаг, газраас хүртэх боломжтой байдлаар нийтэд хүргэхийг	NM	дамжуулах
791	2410041	нийтэд дамжуулх	бүтээл, хамаарах эрхийн объектыг утастай, эсхүл утасгүй сүлжээгээр аливаа хэлбэрээр, хэрэглэгчийн өөрийн сонгосон цаг, газраас хүртэх боломжтой байдлаар нийтэд хүргэхийг	NM	дамжуулах
773	6970012	хөрөнгө оруулалт	монгол улсын нутаг дэвсгэрт ашгийн төлөө үйл ажиллагаа явуулах этгээдийн хувь нийлүүлсэн хөрөнгөд оруулсан, санхүүгийн тайланд туссан биет болон биет бус хөрөнгийг	NM	оруулалт
515	556	компаниуд нийлэх	хоёр буюу хэд хэдэн компанийн үйл ажиллагааг зогсоож, тэдгээрийн эрх, үүрэг, хариуцлагыг шинээр бий болсон компанид шилжүүлэх	NM	нийлэх
515	556	компаниуд нийлх	хоёр буюу хэд хэдэн компанийн үйл ажиллагааг зогсоож, тэдгээрийн эрх, үүрэг, хариуцлагыг шинээр бий болсон компанид шилжүүлэх	NM	нийлэх
895	6650014	урьдчилсан мэдээ	ус цаг уур, орчны төлөв байдлыг хэдэн цаг, хоног, сар, улирлын өмнө шинжлэх ухааны үндэслэлтэй урьдчилан тодорхойлж гаргасан мэдээг	NM	мэдээ
525	779	прокурорын хяналт	хорих байрны үйл ажиллагаа, нөхцөл, журам нь энэ хуульд хэрхэн нийцэж байгаад уеп болон түүний харьяа прокурорууд хяналт тавина.	NM	хяналт
935	1790019	хөвөлтөд тохирсон	тухайн төрөл, зориулалтын хөлөг онгоц экологи, аюулгүйн болон техникийн дүрмийн шаардлага хангасан, аюулгүй аялахад зайлшгүй шаардлагатай бүрэн бүрэлдэхүүнтэй мэргэжлийн баг, бүх төрлийн нөөц, тоног төхөөрөмжөөр хангагдсан байдлыг	NM	тохирсон
935	1790019	хөвөлтөд тохирсн	тухайн төрөл, зориулалтын хөлөг онгоц экологи, аюулгүйн болон техникийн дүрмийн шаардлага хангасан, аюулгүй аялахад зайлшгүй шаардлагатай бүрэн бүрэлдэхүүнтэй мэргэжлийн баг, бүх төрлийн нөөц, тоног төхөөрөмжөөр хангагдсан байдлыг	NM	тохирсон
936	6520028	клирингийн систем	нэг оролцогчоос нөгөө оролцогчид мөнгөн хөрөнгө, эсхүл үнэт цаас шилжүүлэхтэй холбогдох мэдээллийг клирингийн төвөөр дамжуулан солилцох, оролцогчдын төлбөр тооцооны үр дүнг тооцоолох үйл ажиллагаа, техник технологи, программ хангамжийн шийдэл бүхий дэд бүтцийг	NM	систем
937	6870035	ажилтны төлөөлөгч	ажилтны эрх, хууль ёсны ашиг сонирхлыг төлөөлөн хамгаалах үүрэг хүлээсэн үйлдвэрчний эвлэл, түүний төлөөлөгч, хэрэв ийм байгууллага байхгүй бол нийт ажилтны хурлаас сонгогдсон ажилтныг	NM	төлөөлөгч
938	1840023	эс, эдийн тохироо	донор болон реципиентийн эс, эд удам зүйн шинжээрээ тохирохыг	NM	тохироо
939	6570015	ургамал хамгаалал	"бэлчээрийн болон таримал ургамал /цаашид ""ургамал"" гэх/-ыг ургамлын өвчин, хөнөөлт шавж, мэрэгч амьтан, хог ургамлын хөнөөлөөс урьдчилан сэргийлэх, түүнтэй тэмцэх, хорио цээр тогтоох арга хэмжээг хэрэгжүүлэх цогц үйл ажиллагааг"	NM	хамгаалал
939	6570015	ургамал хамгаалл	"бэлчээрийн болон таримал ургамал /цаашид ""ургамал"" гэх/-ыг ургамлын өвчин, хөнөөлт шавж, мэрэгч амьтан, хог ургамлын хөнөөлөөс урьдчилан сэргийлэх, түүнтэй тэмцэх, хорио цээр тогтоох арга хэмжээг хэрэгжүүлэх цогц үйл ажиллагааг"	NM	хамгаалал
940	4380044	сонсгол даргалагч	тухайн сонсголын дэгийг сахиулахаар сонгогдсон, эсхүл томилогдсон албан тушаалтныг	NM	даргалагч
941	3180012	18, 50 нас хүрсэн	тухайн иргэний төрсөн он, сар, өдрөөс тоолоход сонгуулийн санал авах өдөр буюу түүнээс өмнө тухайн насанд хүрсэн байхыг	NM	хүрсэн
941	3180012	18, 50 нас хүрсн	тухайн иргэний төрсөн он, сар, өдрөөс тоолоход сонгуулийн санал авах өдөр буюу түүнээс өмнө тухайн насанд хүрсэн байхыг	NM	хүрсэн
942	6320014	гэр бүлийн гишүүн	эрүүгийн хэрэг хянан шийдвэрлэх тухай хуулийн 14 дүгээр зүйлийн 14 дэх заалтад заасан хүмүүсийг	NM	гишүүн
943	3860017	монгол хэл, бичиг	монгол хэл, кирил болон үндэсний бичгийг	NM	бичиг
943	3860017	монгол хэл, бичг	монгол хэл, кирил болон үндэсний бичгийг	NM	бичиг
944	6770041	бодлогын үр нөлөө	бодлогыг хэрэгжүүлснээр хүний хөгжил, нийгэм, байгаль орчин, эдийн засаг, засаглалын хүрээнд бий болох эерэг өөрчлөлтийг	NM	нөлөө
945	6250020	паркийн дэд бүтэц	паркийн нутаг дэвсгэрт эрчим хүч, дулааны эх үүсвэр, шугам сүлжээ, цэвэр усан хангамж, ариутгах, цэвэрлэх байгууламж, авто зам, төмөр зам бүхий цогцолборыг	NM	бүтэц
945	6250020	паркийн дэд бүтц	паркийн нутаг дэвсгэрт эрчим хүч, дулааны эх үүсвэр, шугам сүлжээ, цэвэр усан хангамж, ариутгах, цэвэрлэх байгууламж, авто зам, төмөр зам бүхий цогцолборыг	NM	бүтэц
946	90032	озоны үе давхарга	дэлхийн гадаргаас дээш орших хийн мандлын озоны давхаргыг	NM	давхарга
946	90032	озоны үе давхарг	дэлхийн гадаргаас дээш орших хийн мандлын озоны давхаргыг	NM	давхарга
947	4810035	бүртгэлийн систем	албан татвар суутган төлөгчийн борлуулалтын мэдээллийг иргэн, хуулийн этгээдийн худалдан авсан бараа, ажил, үйлчилгээний мэдээлэл бүхий бүртгэх хэрэгслээр дамжуулан бүртгэлийн машинд бүртгэн, татварын албаны мэдээллийн санд төвлөрүүлэх үйл ажиллагааны нийлбэр цогцыг	NM	систем
948	1470046	өpтөгт газрын тос	газрын тосноос энэ хуулийн 4131-д заасан зардлыг нөхөхөд зориулж энэ хуулийн 323-т заасан хувиар тооцсон газрын тосыг	NM	тос
949	6600032	усан замын обьект	усан замын тээврийн хэрэгслийн зогсоол, төв буудал, чиглүүлэгч гэрэлт цамхаг болон бусад хөвөгч тоног төхөөрөмжийг	NM	обьект
934	2420022	цэргийн ажиллагаа	зэвсэгт хүчний төрлийн цэргийн хүч, хэрэгслийг зохион байгуулалттайгаар хэрэглэхийг	NM	ажиллагаа
933	6630043	усны тоо, бүртгэл	усны сан бүхий газар, ус хангамжийн эх үүсвэрийн тоо, хэмжээ, чанар, ашигласан болон хаягдал усны хэмжээ, ус бохирдуулагч эх үүсвэрийн тооллого явуулж бүртгэх үйл ажиллагааг	NM	бүртгэл
933	6630043	усны тоо, бүртгл	усны сан бүхий газар, ус хангамжийн эх үүсвэрийн тоо, хэмжээ, чанар, ашигласан болон хаягдал усны хэмжээ, ус бохирдуулагч эх үүсвэрийн тооллого явуулж бүртгэх үйл ажиллагааг	NM	бүртгэл
932	2410026	фонограмм бүтээгч	тоглолтын болон бусад дуу авиа бүхий, эсхүл тэдгээрийн илэрхийллийн анхны бичлэгийг санаачлан хийсэн, уг бичлэгийн тухайд эрх эдэлж, үүрэг хүлээх хувь хүн, хуулийн этгээдийг	NM	бүтээгч
931	5170019	орон сууц өмчлөгч	тухайн орон сууцыг захиран зарцуулах эрх бүхий иргэн, хуулийн этгээд, төрийн эрх бүхий байгууллагыг	NM	өмчлөгч
915	2720024	халдваргүйжүүлэлт	хүний болон амьтны биеийн гадаргуу дээр, эсхүл гар тээш, ачаа, чингэлэг, тээврийн хэрэгсэл, бараа, шуудангийн илгээмжийн дотор болон гадна хэсэгт байгаа халдвар үүсгэгчийг физик болон химийн аргаар устгах, эсхүл тоог цөөрүүлэх арга хэмжээ авахыг	NM	халдваргүйжүүлэлт
916	7330021	хүнсний түүхий эд	мал, амьтан, ургамал, эрдсийн болон бусад гаралтай түүхий эд, түүнчлэн хүнсний бүтээгдэхүүнийг боловсруулахад хэрэглэдэг усыг	NM	эд
917	7810026	цацрагийн үүсгүүр	цөмийн төхөөрөмжөөс бусад цацрагийн шарлага үүсгэгч цацраг идэвхт бодис болон ионжуулагч цацраг гаргагч аливаа багаж хэрэгслийг	NM	үүсгүүр
918	400022	санхүүгийн баримт	нягтлан бодох бүртгэлийн данс, өмч, хөрөнгө, өр төлбөр, орлого, зарлагын анхан шатны баримт, нягтлан бодох бүртгэлийн журнал, туслах болон ерөнхий дэвтэр, тодруулга болон аж ахуй нэгж, байгууллагын санхүү, эдийн засгийн холбогдох тайлан, бусад баримт бичгийг	NM	баримт
919	730038	мадридын протокол	1989 оны 6 дугаар сарын 27-ны өдөр байгуулсан барааны тэмдгийн олон улсын бүртгэлийн тухай мадридын хэлэлцээрийн протоколыг	NM	протокол
919	730038	мадридын протокл	1989 оны 6 дугаар сарын 27-ны өдөр байгуулсан барааны тэмдгийн олон улсын бүртгэлийн тухай мадридын хэлэлцээрийн протоколыг	NM	протокол
920	760035	барилгын материал	стандарт, эрүүл ахуй, экологийн шаардлагыг хангасан барилга байгууламжид хэрэглэгдэх эрдэс, түүхий эд, материал, бүтээц, бүтээгдэхүүн, эдлэхүүнийг	NM	материал
921	6270036	хориг арга хэмжээ	нэгдсэн үндэстний байгууллагын аюулгүйн зөвлөлөөс гаргасан тогтоолын дагуу үй олноор хөнөөх зэвсэг дэлгэрүүлэх болон терроризмтой тэмцэхтэй холбоотой хориг арга хэмжээг	NM	хэмжээ
950	5530017	сувиллын цэцэрлэг	хоёр наснаас сургуульд элсэх хүртэлх насны биеийн өсөлт, оюун ухааны хөгжлийн хоцрогдолтой хүүхдийг асрах, хамгаалах, хүмүүжүүлэх, сургах цогц үйл ажиллагаагаар хүүхдийн бие бялдар, оюун ухаан, нийгэмшихүйн хөгжлийг дэмжих сургалтын байгууллагыг	NM	цэцэрлэг
950	5530017	сувиллын цэцэрлг	хоёр наснаас сургуульд элсэх хүртэлх насны биеийн өсөлт, оюун ухааны хөгжлийн хоцрогдолтой хүүхдийг асрах, хамгаалах, хүмүүжүүлэх, сургах цогц үйл ажиллагаагаар хүүхдийн бие бялдар, оюун ухаан, нийгэмшихүйн хөгжлийг дэмжих сургалтын байгууллагыг	NM	цэцэрлэг
922	6990021	хуурайшлын индекс	тухайн газар нутгийн жилийн тундасны хэмжээ болон ургамал, хөрсний нийлбэр ууршилт хоорондын харьцааг	NM	индекс
924	5630017	хөрсний үржил шим	ургамлын ургац бүрдүүлэхэд шаардагдах чийг, хөрсний шим тэжээлийн бодис, агаар, дулаан, физик-механик шинж, хими, биологийн орчныг тодорхойлж байгаа хөрсний чадавхыг	NM	шим
925	1980018	зам тээврийн осол	зам дээр тээврийн хэрэгслийн хөдөлгөөнөөс үүдэн хүний амь нас, эрүүл мэнд хохирох, тээврийн хэрэгсэл болон зам, замын байгууламж эвдэрч гэмтэх, ачаа болон бусад эд хөрөнгийн хохирол учрахыг	NM	осол
925	1980018	зам тээврийн осл	зам дээр тээврийн хэрэгслийн хөдөлгөөнөөс үүдэн хүний амь нас, эрүүл мэнд хохирох, тээврийн хэрэгсэл болон зам, замын байгууламж эвдэрч гэмтэх, ачаа болон бусад эд хөрөнгийн хохирол учрахыг	NM	осол
926	5490031	тохирлын баталгаа	бүтээгдэхүүн нь стандарт, техникийн зохицуулалтын шаардлагад нийцэж байгааг тодорхойлсон баримт бичгийг	NM	баталгаа
927	5530024	хувилбарт сургалт	"үндсэн сургалтад хамрагдаж чадахгүй байгаа хүүхдэд сургуулийн өмнөх боловсрол эзэмшүүлэх ""ээлжийн бүлгийн"", ""явуулын багшийн"", ""нүүдлийн бүлгийн"" сургалтын үйл ажиллагааг"	NM	сургалт
928	5470032	шашны байгууллага	төр, сүм хийдийн харилцааны тухай хуулийн 6 дугаар зүйлд зааснаар шашны зан үйл, хурал ном, боловсролын ажлыг эрхлэн гүйцэтгэж байгаа албан ёсны зөвшөөрөл бүхий хийд, сүм, дацан, төв болон тэдгээрийн удирдах байгууллагыг	NM	байгууллага
928	5470032	шашны байгууллаг	төр, сүм хийдийн харилцааны тухай хуулийн 6 дугаар зүйлд зааснаар шашны зан үйл, хурал ном, боловсролын ажлыг эрхлэн гүйцэтгэж байгаа албан ёсны зөвшөөрөл бүхий хийд, сүм, дацан, төв болон тэдгээрийн удирдах байгууллагыг	NM	байгууллага
929	2650025	мэдээллийн сүлжээ	нийтийн мэдээллийн ил тод байдлын тухай хуулийн 412-т заасныг	NM	сүлжээ
930	2520023	регистрийн дугаар	монгол улсын иргэний төрсөн он, сар, өдөр, хүйсийн талаарх мэдээллийг тусгасан 2 үсэг, 8 орон бүхий тооноос бүрдсэн, үл давхардах нийлмэл кодыг	NM	дугаар
923	2490041	олон улсын нислэг	хоёр буюу түүнээс дээш улсын агаарын зайд үйлдэх нислэг	NM	нислэг
923	2490041	олон улсын нислг	хоёр буюу түүнээс дээш улсын агаарын зайд үйлдэх нислэг	NM	нислэг
951	3980024	мэргэшлийн түвшин	ажилтны эзэмших мэдлэг, чадвар, гүйцэтгэх ажил, үүргийн төлөвшил, хариуцлага, хандлагын хүрээг стандартаар тодорхойлсон мэргэшлийн шатлалыг	NM	түвшин
951	3980024	мэргэшлийн түвшн	ажилтны эзэмших мэдлэг, чадвар, гүйцэтгэх ажил, үүргийн төлөвшил, хариуцлага, хандлагын хүрээг стандартаар тодорхойлсон мэргэшлийн шатлалыг	NM	түвшин
952	6810020	ахуйн хог хаягдал	айл өрхөөс гарах энгийн хог хаягдлыг	NM	хаягдал
952	6810020	ахуйн хог хаягдл	айл өрхөөс гарах энгийн хог хаягдлыг	NM	хаягдал
953	7100011	хувийн хамгаалалт	хувийн хамгаалалтын үйл ажиллагаа эрхлэх эрх бүхий этгээд гэрээний үндсэн дээр үйлчлүүлэгчийн амь бие, эрүүл мэндийг гэмт халдлагаас хамгаалахын тулд энэ хуулиар зөвшөөрсөн үйл ажиллагаа явуулахыг	NM	хамгаалалт
975	2090020	мэдээлэх хэрэгсэл	телевиз, радио, холбооны шугам сүлжээ, компьютерын сүлжээ, тусгай программ, хэвлэл болон бусад арга хэрэгслийг	NM	хэрэгсэл
975	2090020	мэдээлэх хэрэгсл	телевиз, радио, холбооны шугам сүлжээ, компьютерын сүлжээ, тусгай программ, хэвлэл болон бусад арга хэрэгслийг	NM	хэрэгсэл
976	2650024	мэдээллийн систем	нийтийн мэдээллийн ил тод байдлын тухай хуулийн 411-д заасныг	NM	систем
977	5610016	тамхи үйлдвэрлэгч	тамхины үйлдвэрлэл, худалдаа, импортын үйл ажиллагаа эрхэлдэг хуулийн этгээдийг	NM	үйлдвэрлэгч
978	6520033	шууд бус оролцогч	төлбөр тооцоог гэрээний үндсэн дээр шууд оролцогчоор дамжуулан гүйцэтгэж байгаа оролцогчийг	NM	оролцогч
979	6250017	паркийн удирдлага	паркийн үйл ажиллагааг зохион байгуулах, хөгжүүлэх чиг үүрэг бүхий тусгай зөвшөөрөл эзэмшигч хуулийн этгээдийг	NM	удирдлага
979	6250017	паркийн удирдлаг	паркийн үйл ажиллагааг зохион байгуулах, хөгжүүлэх чиг үүрэг бүхий тусгай зөвшөөрөл эзэмшигч хуулийн этгээдийг	NM	удирдлага
980	7810020	ионжуулагч цацраг	шууд болон шууд бус замаар бодис, биологийн биет дотор хос ион үүсгэх цацрагийг	NM	цацраг
980	7810020	ионжуулагч цацрг	шууд болон шууд бус замаар бодис, биологийн биет дотор хос ион үүсгэх цацрагийг	NM	цацраг
981	3890017	хөдөлгөөний дүрэм	олон улсын улаан загалмай, улаан хавирган сар нийгэмлэгүүдийн холбооны бага хурлаар 1986 онд женевт батлагдаж, 1995 онд нэмэлт өөрчлөлт орсон олон улсын улаан загалмай, улаан хавирган сар хөдөлгөөний дүрмийг	NM	дүрэм
981	3890017	хөдөлгөөний дүрм	олон улсын улаан загалмай, улаан хавирган сар нийгэмлэгүүдийн холбооны бага хурлаар 1986 онд женевт батлагдаж, 1995 онд нэмэлт өөрчлөлт орсон олон улсын улаан загалмай, улаан хавирган сар хөдөлгөөний дүрмийг	NM	дүрэм
974	6630035	бохирдуулах бодис	хаягдал усанд агуулагдаж, хүрээлэн байгаа орчныг бохирдуулж байгаа бодис, тэдгээрийн хольцыг	NM	бодис
974	6630035	бохирдуулах бодс	хаягдал усанд агуулагдаж, хүрээлэн байгаа орчныг бохирдуулж байгаа бодис, тэдгээрийн хольцыг	NM	бодис
982	5840014	төмөр замын шугам	төмөр замын өртөө хоорондын зам болон өртөөн дэх түүний шууд үргэлжлэлийг	NM	шугам
982	5840014	төмөр замын шугм	төмөр замын өртөө хоорондын зам болон өртөөн дэх түүний шууд үргэлжлэлийг	NM	шугам
984	5910018	шалгагдагч этгээд	төсвийн байгууллага, тусгай сан, төрийн болон орон нутгийн өмчит, төрийн болон орон нутгийн өмчийн оролцоотой хуулийн этгээд, төрийн чиг үүргийг хууль тогтоомж, гэрээний үндсэн дээр шилжүүлэн авсан этгээд болон хуульд заасны дагуу төрийн аудит хийгдэх аливаа этгээдийг	NM	этгээд
985	6900018	ажил хийхэд бэлэн	хөдөлмөрийн тухай хуульд заасан хөдөлмөрийн гэрээ, онцгой нөхцөл бүхий хөдөлмөрийн гэрээ, иргэний хуулийн 359 дүгээр зүйлд заасан хөлсөөр ажиллах гэрээ, тэдгээртэй адилтгах гэрээ байгуулахаас татгалзахгүй байхыг	NM	бэлэн
985	6900018	ажил хийхэд бэлн	хөдөлмөрийн тухай хуульд заасан хөдөлмөрийн гэрээ, онцгой нөхцөл бүхий хөдөлмөрийн гэрээ, иргэний хуулийн 359 дүгээр зүйлд заасан хөлсөөр ажиллах гэрээ, тэдгээртэй адилтгах гэрээ байгуулахаас татгалзахгүй байхыг	NM	бэлэн
986	2310019	шүүгчийн захирамж	захиргааны хэрэг шүүхэд хянан шийдвэрлэх ажиллагааны явцад шүүгчээс дангаараа гаргасан шийдвэрийг	NM	захирамж
987	6190027	мэргэжлийн зөвлөл	тэсэрч дэлбэрэх бодис, тэсэлгээний хэрэгслийн эргэлтэд хяналт тавих чиг үүрэгтэй төрийн байгууллага болон мэргэжлийн холбоо, судалгаа, шинжилгээний байгууллагын төлөөллийг оролцуулсан зөвлөлийг	NM	зөвлөл
987	6190027	мэргэжлийн зөвлл	тэсэрч дэлбэрэх бодис, тэсэлгээний хэрэгслийн эргэлтэд хяналт тавих чиг үүрэгтэй төрийн байгууллага болон мэргэжлийн холбоо, судалгаа, шинжилгээний байгууллагын төлөөллийг оролцуулсан зөвлөлийг	NM	зөвлөл
988	5840021	төмөр замын гарам	авто болон явган хүний зам төмөр замтай нэг түвшинд огтлолцсоныг	NM	гарам
988	5840021	төмөр замын гарм	авто болон явган хүний зам төмөр замтай нэг түвшинд огтлолцсоныг	NM	гарам
989	7700016	баталгаат хугацаа	үйлдвэрлэгч, худалдагч, гүйцэтгэгчийн бараа, ажил, үйлчилгээний чанар, аюулгүй байдалд гаргаж өгсөн хугацааг	NM	хугацаа
528	493	зүй ёсны монополь	тухайн бүтээгдэхүүний зах зээлд нийлүүлэлт хийж байгаа нэг этгээд байхад л нийгмийн дундаж зардал, хамгийн бага байх зах зээлд дангаараа үйл ажиллагаа явуулж байгаа этгээд	NM	монополь
528	493	зүй ёсны монополи	тухайн бүтээгдэхүүний зах зээлд нийлүүлэлт хийж байгаа нэг этгээд байхад л нийгмийн дундаж зардал, хамгийн бага байх зах зээлд дангаараа үйл ажиллагаа явуулж байгаа этгээд	NM	монополь
528	493	зүй ёсны монопол	тухайн бүтээгдэхүүний зах зээлд нийлүүлэлт хийж байгаа нэг этгээд байхад л нийгмийн дундаж зардал, хамгийн бага байх зах зээлд дангаараа үйл ажиллагаа явуулж байгаа этгээд	NM	монополь
