	id	leg_term	desc	pos_tag	term_root
346	2450014	шинэ мэдлэг	шинжлэх ухаан, технологийн үйл ажиллагааны үр дүнд бий болсон эдийн засаг, нийгмийн асуудлыг шийдвэрлэх зорилгоор ашиглаж болохуйц, эрхийн хамгаалалт хийгдсэн оюуны бүтээлийг	NM	мэдлэг
346	2450014	шинэ мэдлг	шинжлэх ухаан, технологийн үйл ажиллагааны үр дүнд бий болсон эдийн засаг, нийгмийн асуудлыг шийдвэрлэх зорилгоор ашиглаж болохуйц, эрхийн хамгаалалт хийгдсэн оюуны бүтээлийг	NM	мэдлэг
347	5110038	үндсэн багц	хэрэглэгч олон суваг дамжуулах үйлчилгээнээс худалдан авч болох анхдагч, хамгийн бага багцыг	NM	багц
347	5110038	үндсн багц	хэрэглэгч олон суваг дамжуулах үйлчилгээнээс худалдан авч болох анхдагч, хамгийн бага багцыг	NM	багц
348	270034	харь амьтан	улсын хилийн гаднаас зориудаар болон санамсаргүй байдлаар зөөвөрлөгдөн ирж, нутагшиж байгаа амьтны зүйлийг	NM	амьтан
348	270034	хари амьтан	улсын хилийн гаднаас зориудаар болон санамсаргүй байдлаар зөөвөрлөгдөн ирж, нутагшиж байгаа амьтны зүйлийг	NM	амьтан
348	270034	хари амьтн	улсын хилийн гаднаас зориудаар болон санамсаргүй байдлаар зөөвөрлөгдөн ирж, нутагшиж байгаа амьтны зүйлийг	NM	амьтан
348	270034	харь амьтн	улсын хилийн гаднаас зориудаар болон санамсаргүй байдлаар зөөвөрлөгдөн ирж, нутагшиж байгаа амьтны зүйлийг	NM	амьтан
349	2440022	зээлдүүлэгч	банк, банк бус санхүүгийн байгууллага, хадгаламж зээлийн хоршоо, түүнчлэн зээлдэгчээс гэрээ, эсхүл хуульд заасны дагуу зээл, төлбөрийн үүргийн гүйцэтгэлийг шаардах эрх бүхий иргэн, хуулийн этгээдийг	NM	зээлдүүлэгч
369	5530028	туслах багш	хүүхэд бүрд сургуулийн өмнөх боловсрол олгох, асрах, хамгаалах, хөгжүүлэх үйл ажиллагаанд хамтран оролцдог, багшид туслах үүрэгтэй, мэргэжлийн сургалтад хамрагдсан ажилтныг	NM	багш
369	5530028	туслх багш	хүүхэд бүрд сургуулийн өмнөх боловсрол олгох, асрах, хамгаалах, хөгжүүлэх үйл ажиллагаанд хамтран оролцдог, багшид туслах үүрэгтэй, мэргэжлийн сургалтад хамрагдсан ажилтныг	NM	багш
350	5130034	гадаад зээл	монгол улсад бүртгэлгүй, байнга оршин суугч бус аливаа этгээдээс олгосон өр үүсгэх хөрөнгийн эх үүсвэрийг	NM	зээл
376	2660015	монгол кино	монгол улсын иргэн, хуулийн этгээд нь тухайн киноны зохиогч, эрх эзэмшигч, кино продюсер байх, эсхүл монгол улсын иргэн ерөнхий найруулагчаар ажилласан киног	NM	кино
376	2660015	монгл кино	монгол улсын иргэн, хуулийн этгээд нь тухайн киноны зохиогч, эрх эзэмшигч, кино продюсер байх, эсхүл монгол улсын иргэн ерөнхий найруулагчаар ажилласан киног	NM	кино
375	2660019	кино бүтээх	кино төсөл боловсруулах, кино зохиол бичих, зураг авалт, эвлүүлэг, дуу, дүрсний найруулга хийх зэрэг кино түгээх хүртэлх бүтээлч үйл ажиллагааг	NM	бүтээх
374	1790016	хөлөг онгоц	далай ашиглах үйл ажиллагаа явуулахад зориулагдсан хөдөлгүүрт болон хөдөлгүүрт бус инженерийн хөвөгч байгууламжийг	NM	онгоц
374	1790016	хөлг онгоц	далай ашиглах үйл ажиллагаа явуулахад зориулагдсан хөдөлгүүрт болон хөдөлгүүрт бус инженерийн хөвөгч байгууламжийг	NM	онгоц
374	1790016	хөлг онгц	далай ашиглах үйл ажиллагаа явуулахад зориулагдсан хөдөлгүүрт болон хөдөлгүүрт бус инженерийн хөвөгч байгууламжийг	NM	онгоц
374	1790016	хөлөг онгц	далай ашиглах үйл ажиллагаа явуулахад зориулагдсан хөдөлгүүрт болон хөдөлгүүрт бус инженерийн хөвөгч байгууламжийг	NM	онгоц
373	8090021	мэргэжилтэн	эрүүгийн, иргэний, захиргааны, арбитрын хэрэг, маргааныг хянан шийдвэрлэх, зөрчил шалган шийдвэрлэх ажиллагааны явцад мөрдөгч, прокурор, шүүх, арбитрын тогтоол, шүүгчийн захирамж, зөрчил шалган шийдвэрлэх эрх бүхий этгээдийн хүсэлтээр оролцох тусгай мэдлэг бүхий хүнийг	NM	мэргэжилтэн
373	8090021	мэргэжилтн	эрүүгийн, иргэний, захиргааны, арбитрын хэрэг, маргааныг хянан шийдвэрлэх, зөрчил шалган шийдвэрлэх ажиллагааны явцад мөрдөгч, прокурор, шүүх, арбитрын тогтоол, шүүгчийн захирамж, зөрчил шалган шийдвэрлэх эрх бүхий этгээдийн хүсэлтээр оролцох тусгай мэдлэг бүхий хүнийг	NM	мэргэжилтэн
372	7830024	цэргийн цол	цэргийн алба хаагчийн эрхэлж байгаа албан тушаалын ангилал, цэргийн боловсрол, цэргийн жинхэнэ алба хаасан хугацааг илэрхийлсэн зэрэглэлийг	NM	цол
372	7830024	цэргь цол	цэргийн алба хаагчийн эрхэлж байгаа албан тушаалын ангилал, цэргийн боловсрол, цэргийн жинхэнэ алба хаасан хугацааг илэрхийлсэн зэрэглэлийг	NM	цол
372	7830024	цэрг цол	цэргийн алба хаагчийн эрхэлж байгаа албан тушаалын ангилал, цэргийн боловсрол, цэргийн жинхэнэ алба хаасан хугацааг илэрхийлсэн зэрэглэлийг	NM	цол
371	2650020	кибер орчин	мэдээлэлд хандах, нэвтрэх, цуглуулах, түүнийг боловсруулах, хадгалах, ашиглах боломж олгож байгаа мэдээллийн систем, мэдээллийн сүлжээний орчныг	NM	орчин
377	400028	аудитын баг	аудитын тухайн гэрээт ажлыг гүйцэтгэхээр аудитын хуулийн этгээдээс томилогдсон партнер, аудитор, аудиторын туслах болон шинжээчийг	NM	баг
377	400028	аудит баг	аудитын тухайн гэрээт ажлыг гүйцэтгэхээр аудитын хуулийн этгээдээс томилогдсон партнер, аудитор, аудиторын туслах болон шинжээчийг	NM	баг
344	190036	зуучлуулагч	зуучлах үйлчилгээ авч байгаа 18 насанд хүрсэн, монгол улсын иргэн болон гадаадын иргэн, харьяалалгүй хүнийг	NM	зуучлуулагч
342	8260022	бусад газар	хүн, хуулийн этгээдийн орон байрнаас бусад өмчлөл, эзэмшлийн байр, байгууламж, бусад обьектыг	NM	газар
342	8260022	бусд газар	хүн, хуулийн этгээдийн орон байрнаас бусад өмчлөл, эзэмшлийн байр, байгууламж, бусад обьектыг	NM	газар
342	8260022	бусад газр	хүн, хуулийн этгээдийн орон байрнаас бусад өмчлөл, эзэмшлийн байр, байгууламж, бусад обьектыг	NM	газар
342	8260022	бусд газр	хүн, хуулийн этгээдийн орон байрнаас бусад өмчлөл, эзэмшлийн байр, байгууламж, бусад обьектыг	NM	газар
335	5890014	төрийн алба	төрийн зорилт, чиг үүргийг монгол улсын үндсэн хууль, бусад хууль тогтоомжийн хүрээнд хэрэгжүүлэх, төрийн бодлого боловсруулах, төрөөс зайлшгүй үзүүлэх шаардлагатай бусад үйлчилгээг нийтэд хүргэх үйл ажиллагаа, бүтэц, зохион байгуулалтыг	NM	алба
335	5890014	төр алба	төрийн зорилт, чиг үүргийг монгол улсын үндсэн хууль, бусад хууль тогтоомжийн хүрээнд хэрэгжүүлэх, төрийн бодлого боловсруулах, төрөөс зайлшгүй үзүүлэх шаардлагатай бусад үйлчилгээг нийтэд хүргэх үйл ажиллагаа, бүтэц, зохион байгуулалтыг	NM	алба
335	5890014	төрь алба	төрийн зорилт, чиг үүргийг монгол улсын үндсэн хууль, бусад хууль тогтоомжийн хүрээнд хэрэгжүүлэх, төрийн бодлого боловсруулах, төрөөс зайлшгүй үзүүлэх шаардлагатай бусад үйлчилгээг нийтэд хүргэх үйл ажиллагаа, бүтэц, зохион байгуулалтыг	NM	алба
221	1046	улсын нисэх	улсын агаарын хөлгөөр үйл ажиллагаа гүйцэтгэхтэй холбогдсон цогцолбор ойлголт	NM	нисэх
221	1046	улсын нисх	улсын агаарын хөлгөөр үйл ажиллагаа гүйцэтгэхтэй холбогдсон цогцолбор ойлголт	NM	нисэх
221	1046	улс нисэх	улсын агаарын хөлгөөр үйл ажиллагаа гүйцэтгэхтэй холбогдсон цогцолбор ойлголт	NM	нисэх
221	1046	улс нисх	улсын агаарын хөлгөөр үйл ажиллагаа гүйцэтгэхтэй холбогдсон цогцолбор ойлголт	NM	нисэх
225	955	тусгай алба	тагнуулын ажил эрхэлдэг байгууллага, түүний салбар, нэгж	NM	алба
226	872	татварын өр	татварын хуулиар тогтоосон хугацаанд нь төлөгдөөгүй татвар, тэдгээрт ногдсон хүү, торгууль, татварын хяналт шалгалтаар илэрч төлөгдөхөөр тогтоогдсон нөхөн татвар, хүү, торгуул	NM	өр
226	872	татвар өр	татварын хуулиар тогтоосон хугацаанд нь төлөгдөөгүй татвар, тэдгээрт ногдсон хүү, торгууль, татварын хяналт шалгалтаар илэрч төлөгдөхөөр тогтоогдсон нөхөн татвар, хүү, торгуул	NM	өр
227	760	өрийн бичиг	тодорхой хугацааны дараа үндсэн төлбөр болон хүүг мөнгөн, эсхүл тодорхой эд хөрөнгө, эд хөрөнгийн эрхийн хэлбэрээр эргүүлэн төлөх үүргийг гэрчилсэн үнэт цаас	NM	бичиг
227	760	өр бичиг	тодорхой хугацааны дараа үндсэн төлбөр болон хүүг мөнгөн, эсхүл тодорхой эд хөрөнгө, эд хөрөнгийн эрхийн хэлбэрээр эргүүлэн төлөх үүргийг гэрчилсэн үнэт цаас	NM	бичиг
227	760	өрь бичиг	тодорхой хугацааны дараа үндсэн төлбөр болон хүүг мөнгөн, эсхүл тодорхой эд хөрөнгө, эд хөрөнгийн эрхийн хэлбэрээр эргүүлэн төлөх үүргийг гэрчилсэн үнэт цаас	NM	бичиг
231	205	байгууллага	тодорхой чиг үүрэг, бүрэн эрх бүхий хуулиар хүлээн зөвшөөрөгдсөн хуулийн этгээд	NM	байгууллага
236	238	гаалийн хил	монгол улсын хил, монгол улсын нутаг дэвсгэр дээр байгуулагдсан гаалийн тусгай бүс, гаалийн баталгаат бүсийг гаалийн нутаг дэвсгэрээс тусгаарласан шугам	NM	хил
236	238	гаал хил	монгол улсын хил, монгол улсын нутаг дэвсгэр дээр байгуулагдсан гаалийн тусгай бүс, гаалийн баталгаат бүсийг гаалийн нутаг дэвсгэрээс тусгаарласан шугам	NM	хил
236	238	гааль хил	монгол улсын хил, монгол улсын нутаг дэвсгэр дээр байгуулагдсан гаалийн тусгай бүс, гаалийн баталгаат бүсийг гаалийн нутаг дэвсгэрээс тусгаарласан шугам	NM	хил
239	1008	танилцуулга	удирдлагын төвшинд гаргах шийдвэр, зохиох арга хэмжээний агуулгыг товч, тодорхой байдлаар илэрхийлсэн баримт бичиг	NM	танилцуулга
240	453	жанжин штаб	улс орныг цэргийн хүчээр батлан хамгаалах зорилго бүхий төрийн цэргийн байгууллагуудыг цэргийн мэргэжлийн нэгдмэл удирдлагаар хангах дээд байгууллага мөн.жанжин штабын дарга нь зэвсэгт хүчний ерөнхий командлагч, батлан хамгаалах асуудал эрхэлсэн зг-ын гишүүний удирдлага дор ажиллана.	NM	штаб
240	453	жанжин штб	улс орныг цэргийн хүчээр батлан хамгаалах зорилго бүхий төрийн цэргийн байгууллагуудыг цэргийн мэргэжлийн нэгдмэл удирдлагаар хангах дээд байгууллага мөн.жанжин штабын дарга нь зэвсэгт хүчний ерөнхий командлагч, батлан хамгаалах асуудал эрхэлсэн зг-ын гишүүний удирдлага дор ажиллана.	NM	штаб
244	58	ариун цэвэр	байгаль, нийгмийн орчноос хүн амын эрүүл мэндэд нөлөөлж болох сөрөг хүчин зүйлийг арилгах, өвчин, эмгэгээс урьдчилан сэргийлэх үйл ажиллагаа	NM	цэвэр
244	58	ариун цэвр	байгаль, нийгмийн орчноос хүн амын эрүүл мэндэд нөлөөлж болох сөрөг хүчин зүйлийг арилгах, өвчин, эмгэгээс урьдчилан сэргийлэх үйл ажиллагаа	NM	цэвэр
244	58	ари цэвэр	байгаль, нийгмийн орчноос хүн амын эрүүл мэндэд нөлөөлж болох сөрөг хүчин зүйлийг арилгах, өвчин, эмгэгээс урьдчилан сэргийлэх үйл ажиллагаа	NM	цэвэр
244	58	ари цэвр	байгаль, нийгмийн орчноос хүн амын эрүүл мэндэд нөлөөлж болох сөрөг хүчин зүйлийг арилгах, өвчин, эмгэгээс урьдчилан сэргийлэх үйл ажиллагаа	NM	цэвэр
247	1428	эс үйлдэхүй	иргэн, хуулийн этгээдээс эрх, хууль ёсны ашиг сонирхлоо хэрэгжүүлэх, хамгаалуулахаар гаргасан гомдлыг хянан шийдвэрлэх үүргээ захиргааны байгууллага, албан тушаалтнаас хуульд заасан хугацаанд биелүүлээгүй буюу шийдвэрлэхгүй орхигдуулсан	NM	үйлдэхүй
253	1155	хил зөрчигч	улсын хил нэвтрэх журмыг хилийн боомтоос өөр газраар улсын хилийг газар, ус, агаараар нэвтэрсэн, нэвтрэхийг завдсан, хилийн боомтоор улсын хил нэвтрэх эрхийн хүчин төгөлдөр бус баримт бичигтэйгээр нэвтэрсэн, нэвтрэхийг завдсан, улсын хилийг газрын хэвлийгээр нэвтэрсэн зэрэг үйлдлээр зөрчсөн этгээд	NM	зөрчигч
242	707	нэрийн данс	нэрийн дансыг нийгмийн даатгалын тухай хууль тогтоомжид заасан нөхцөл, журмын дагуу тэтгэврийн даатгалд хамрагдсан, 1960-1-1-ний өдөр ба түүнээс хойш төрсөн му-ын иргэн, тус улсад байнаг оршин суугаа гадаадын иргэн болон харьяалалгүй хүнд нээнэ.нэрийн данс нээх болон дансны мэдээллийг даатгуулагчид өгөх журмыг нийгмийн даатгалын төв байгууллага батална.	NM	данс
242	707	нэр данс	нэрийн дансыг нийгмийн даатгалын тухай хууль тогтоомжид заасан нөхцөл, журмын дагуу тэтгэврийн даатгалд хамрагдсан, 1960-1-1-ний өдөр ба түүнээс хойш төрсөн му-ын иргэн, тус улсад байнаг оршин суугаа гадаадын иргэн болон харьяалалгүй хүнд нээнэ.нэрийн данс нээх болон дансны мэдээллийг даатгуулагчид өгөх журмыг нийгмийн даатгалын төв байгууллага батална.	NM	данс
242	707	нэрь данс	нэрийн дансыг нийгмийн даатгалын тухай хууль тогтоомжид заасан нөхцөл, журмын дагуу тэтгэврийн даатгалд хамрагдсан, 1960-1-1-ний өдөр ба түүнээс хойш төрсөн му-ын иргэн, тус улсад байнаг оршин суугаа гадаадын иргэн болон харьяалалгүй хүнд нээнэ.нэрийн данс нээх болон дансны мэдээллийг даатгуулагчид өгөх журмыг нийгмийн даатгалын төв байгууллага батална.	NM	данс
395	1560056	бэлэн байдал	гамшиг, аюулын сөрөг үр дагаврыг урьдчилан тооцож, хүний амь нас, эрүүл мэнд, мал, амьтан, хүрээлэн буй орчин, дэд бүтэц, нийгэм-эдийн засгийн аюулгүй, тогтвортой байдлыг хангах зорилгоор авч хэрэгжүүлж байгаа нэгдмэл удирдлага, төлөвлөлт, зохион байгуулалтын цогц арга хэмжээг	NM	байдал
395	1560056	бэлн байдл	гамшиг, аюулын сөрөг үр дагаврыг урьдчилан тооцож, хүний амь нас, эрүүл мэнд, мал, амьтан, хүрээлэн буй орчин, дэд бүтэц, нийгэм-эдийн засгийн аюулгүй, тогтвортой байдлыг хангах зорилгоор авч хэрэгжүүлж байгаа нэгдмэл удирдлага, төлөвлөлт, зохион байгуулалтын цогц арга хэмжээг	NM	байдал
395	1560056	бэлэн байдл	гамшиг, аюулын сөрөг үр дагаврыг урьдчилан тооцож, хүний амь нас, эрүүл мэнд, мал, амьтан, хүрээлэн буй орчин, дэд бүтэц, нийгэм-эдийн засгийн аюулгүй, тогтвортой байдлыг хангах зорилгоор авч хэрэгжүүлж байгаа нэгдмэл удирдлага, төлөвлөлт, зохион байгуулалтын цогц арга хэмжээг	NM	байдал
395	1560056	бэлн байдал	гамшиг, аюулын сөрөг үр дагаврыг урьдчилан тооцож, хүний амь нас, эрүүл мэнд, мал, амьтан, хүрээлэн буй орчин, дэд бүтэц, нийгэм-эдийн засгийн аюулгүй, тогтвортой байдлыг хангах зорилгоор авч хэрэгжүүлж байгаа нэгдмэл удирдлага, төлөвлөлт, зохион байгуулалтын цогц арга хэмжээг	NM	байдал
388	7040017	гэр хороолол	хот, суурин газрын эдэлбэр газар дахь инженерийн болон нийгмийн дэд бүтцээр бүрэн хангагдаагүй гэр, орон сууц бүхий суурьшлыг	NM	хороолол
388	7040017	гэр хороолл	хот, суурин газрын эдэлбэр газар дахь инженерийн болон нийгмийн дэд бүтцээр бүрэн хангагдаагүй гэр, орон сууц бүхий суурьшлыг	NM	хороолол
389	3180024	цахим хуудас	бүх төрлийн контентыг интернэтийн домэйн нэр ашиглан хэрэглэгчид хүргэдэг программ хангамжийг	NM	хуудас
389	3180024	цахим хуудс	бүх төрлийн контентыг интернэтийн домэйн нэр ашиглан хэрэглэгчид хүргэдэг программ хангамжийг	NM	хуудас
390	240012	ахмад дайчин	1939 оны халхын голын байлдаан, 1945 оны чөлөөлөх дайн, улсын баруун хил дээр 1940-1948 онд болсон зэвсэгт тулгаралтад биечлэн оролцсон монгол улсын иргэн, түүнчлэн дээр дурдсан дайнд оролцож яваад амь үрэгдсэн иргэний эхнэр, нөхрийг	NM	дайчин
390	240012	ахмд дайчин	1939 оны халхын голын байлдаан, 1945 оны чөлөөлөх дайн, улсын баруун хил дээр 1940-1948 онд болсон зэвсэгт тулгаралтад биечлэн оролцсон монгол улсын иргэн, түүнчлэн дээр дурдсан дайнд оролцож яваад амь үрэгдсэн иргэний эхнэр, нөхрийг	NM	дайчин
391	4310017	ахмад настан	ахмад настны нийгмийн хамгааллын тухай хуулийн з дугаар зүйлд заасан хүнийг	NM	настан
391	4310017	ахмд настан	ахмад настны нийгмийн хамгааллын тухай хуулийн з дугаар зүйлд заасан хүнийг	NM	настан
391	4310017	ахмд настн	ахмад настны нийгмийн хамгааллын тухай хуулийн з дугаар зүйлд заасан хүнийг	NM	настан
391	4310017	ахмад настн	ахмад настны нийгмийн хамгааллын тухай хуулийн з дугаар зүйлд заасан хүнийг	NM	настан
392	6140024	дунд хугацаа	төсвийн тогтвортой байдлын тухай хуулийн 419-д заасныг	NM	хугацаа
393	1560035	нэрвэгдэгсэд	гамшиг, аюулын улмаас амь нас, эрүүл мэнд, эд хөрөнгөөр хохирсон иргэдийг	NM	нэрвэгдэгсэд
393	1560035	нэрвэгдэгсд	гамшиг, аюулын улмаас амь нас, эрүүл мэнд, эд хөрөнгөөр хохирсон иргэдийг	NM	нэрвэгдэгсэд
406	8140017	хяналт тавих	эрх бүхий байгууллагаас эрүүл мэндийн байгууллага, эмнэлгийн мэргэжилтэн холбогдох хууль тогтоомж, заавал мөрдөх стандарт, дүрэм, журам, удирдамж, зааврыг биелүүлж байгаа эсэхэд хяналт тавих, шалгах, үнэлэх, зөвлөн туслах цогц арга хэмжээг	NM	тавих
405	2430019	батлан даалт	иргэний хуулийн 458 дугаар зүйлд заасныг	NM	даалт
405	2430019	батлн даалт	иргэний хуулийн 458 дугаар зүйлд заасныг	NM	даалт
404	5330014	радио холбоо	радио төхөөрөмж ашиглан төрөл бүрийн мэдээллийг тэмдэгт, дохио, дуу, дүрс болон бусад хэлбэрээр нэвтрүүлэх, хүлээн авахыг	NM	холбоо
403	40029	зорчих хэсэг	авто тээврийн хэрэгсэл зорчиход зориулагдсан авто зам, замын байгууламжийн хэсгийг	NM	хэсэг
403	40029	зорчих хэсг	авто тээврийн хэрэгсэл зорчиход зориулагдсан авто зам, замын байгууламжийн хэсгийг	NM	хэсэг
401	7830021	оюутан-цэрэг	цэргийн мэргэжил олгох сургалтад сайн дураар хамрагдаж байгаа их, дээд сургуулийн эрэгтэй оюутан, мэргэжлийн сургалт үйлдвэрлэлийн төвийн эрэгтэй суралцагчийг	NM	оюутан-цэрэг
401	7830021	оюутан-цэрг	цэргийн мэргэжил олгох сургалтад сайн дураар хамрагдаж байгаа их, дээд сургуулийн эрэгтэй оюутан, мэргэжлийн сургалт үйлдвэрлэлийн төвийн эрэгтэй суралцагчийг	NM	оюутан-цэрэг
400	1560033	голомтын бүс	гамшиг, аюул, аюулт үзэгдэл, ослын улмаас хорио цээр, хязгаарлалтын дэглэм тогтоон, эсхүл шууд эрэн хайх, аврах, нүүлгэн шилжүүлэх, хор уршгийг арилгах ажиллагаа явуулж байгаа объект, нутаг дэвсгэрийг	NM	бүс
400	1560033	голомт бүс	гамшиг, аюул, аюулт үзэгдэл, ослын улмаас хорио цээр, хязгаарлалтын дэглэм тогтоон, эсхүл шууд эрэн хайх, аврах, нүүлгэн шилжүүлэх, хор уршгийг арилгах ажиллагаа явуулж байгаа объект, нутаг дэвсгэрийг	NM	бүс
399	2490038	нисэх буудал	аэродром, агаарын тээврийн үйлчилгээний барилга, байгууламжийн цогцолбор	NM	буудал
399	2490038	нисх буудал	аэродром, агаарын тээврийн үйлчилгээний барилга, байгууламжийн цогцолбор	NM	буудал
399	2490038	нисх буудл	аэродром, агаарын тээврийн үйлчилгээний барилга, байгууламжийн цогцолбор	NM	буудал
399	2490038	нисэх буудл	аэродром, агаарын тээврийн үйлчилгээний барилга, байгууламжийн цогцолбор	NM	буудал
398	2440028	зээлийн түүх	зээлдэгчийн хууль, гэрээгээр хүлээсэн зээл, төлбөрийн үүрэг, тэдгээрийн гүйцэтгэлийн талаарх цогц мэдээллийг	NM	түүх
398	2440028	зээль түүх	зээлдэгчийн хууль, гэрээгээр хүлээсэн зээл, төлбөрийн үүрэг, тэдгээрийн гүйцэтгэлийн талаарх цогц мэдээллийг	NM	түүх
398	2440028	зээл түүх	зээлдэгчийн хууль, гэрээгээр хүлээсэн зээл, төлбөрийн үүрэг, тэдгээрийн гүйцэтгэлийн талаарх цогц мэдээллийг	NM	түүх
387	5890017	сул орон тоо	төрийн жинхэнэ албан хаагчийг албан тушаалаас нь бууруулсан, төрийн албанаас чөлөөлсөн, халсан, өөр албан тушаалд сонгогдсон, томилогдсон, эсхүл төрийн жинхэнэ албан хаагч нас барсны улмаас тухайн албан тушаалын орон тоо суларсан байхыг	NM	тоо
387	5890017	сул орн тоо	төрийн жинхэнэ албан хаагчийг албан тушаалаас нь бууруулсан, төрийн албанаас чөлөөлсөн, халсан, өөр албан тушаалд сонгогдсон, томилогдсон, эсхүл төрийн жинхэнэ албан хаагч нас барсны улмаас тухайн албан тушаалын орон тоо суларсан байхыг	NM	тоо
397	20018	давуу байдал	энэ хуулийн 41-д заасан этгээд албан тушаалын эрх мэдлээ урвуулан ашигласнаар хувь хүн, хуулийн этгээдэд буй болох эдийн болон эдийн бус ашигтай байдлыг	NM	байдал
397	20018	давуу байдл	энэ хуулийн 41-д заасан этгээд албан тушаалын эрх мэдлээ урвуулан ашигласнаар хувь хүн, хуулийн этгээдэд буй болох эдийн болон эдийн бус ашигтай байдлыг	NM	байдал
396	70018	хориотой бүс	агаарын хөлгийн нислэгийг хориглосон, тодорхой өндөр болон өргөнөөр хязгаарлагдсан агаарын зайг	NM	бүс
394	1570023	генетик нөөц	бодит, эсхүл боломжит үнэ цэнэ бүхий генетик материал, үүсмэлийг	NM	нөөц
386	1570021	бичил биетэн	энгийн нүдэнд үл үзэгдэх нэг ба олон эст амьд бие, вирусийг	NM	биетэн
386	1570021	бичил биетн	энгийн нүдэнд үл үзэгдэх нэг ба олон эст амьд бие, вирусийг	NM	биетэн
380	5660019	үрийн цуврал	нэг удаагийн тариалалтаар хураасан нэг гарал үүсэлтэй, ижил чанартай үрийн багцыг	NM	цуврал
380	5660019	үрь цуврал	нэг удаагийн тариалалтаар хураасан нэг гарал үүсэлтэй, ижил чанартай үрийн багцыг	NM	цуврал
380	5660019	үр цуврл	нэг удаагийн тариалалтаар хураасан нэг гарал үүсэлтэй, ижил чанартай үрийн багцыг	NM	цуврал
380	5660019	үрийн цуврл	нэг удаагийн тариалалтаар хураасан нэг гарал үүсэлтэй, ижил чанартай үрийн багцыг	NM	цуврал
380	5660019	үрь цуврл	нэг удаагийн тариалалтаар хураасан нэг гарал үүсэлтэй, ижил чанартай үрийн багцыг	NM	цуврал
380	5660019	үр цуврал	нэг удаагийн тариалалтаар хураасан нэг гарал үүсэлтэй, ижил чанартай үрийн багцыг	NM	цуврал
384	7060017	шугам сүлжээ	цэвэр ус дамжуулах, түгээх, хэрэглээнээс гарсан бохир усны гаргалгааны болон бохир ус цуглуулах, татан зайлуулах байгууламжийг	NM	сүлжээ
384	7060017	шугм сүлжээ	цэвэр ус дамжуулах, түгээх, хэрэглээнээс гарсан бохир усны гаргалгааны болон бохир ус цуглуулах, татан зайлуулах байгууламжийг	NM	сүлжээ
288	673	нэн ядуу хүн	тухайн хүнд ногдох орлогын хэмжээ нь амьжиргааны доод түвшингийн 40 хувиас доогуур, тэрхүү орлогынхоо хэмжээгээр хязгаарлагдмал хэрэглээтэй хүн	NM	хүн
288	673	нэн ядуу х	тухайн хүнд ногдох орлогын хэмжээ нь амьжиргааны доод түвшингийн 40 хувиас доогуур, тэрхүү орлогынхоо хэмжээгээр хязгаарлагдмал хэрэглээтэй хүн	NM	хүн
285	914	төлбөр авагч	хуульд заасан эрх, эрх чөлөө, хуулиар хамгаалагдсан ашиг сонирхол нь зөрчигдсөн гэж үзэж түүнийг сэргээх, хамгаалахаар гүйцэтгэх баримт бичигт заасан иргэн, хуулийн этгээд	NM	авагч
285	914	төлбр авагч	хуульд заасан эрх, эрх чөлөө, хуулиар хамгаалагдсан ашиг сонирхол нь зөрчигдсөн гэж үзэж түүнийг сэргээх, хамгаалахаар гүйцэтгэх баримт бичигт заасан иргэн, хуулийн этгээд	NM	авагч
284	420	дууриамал эм	эрх бүхий үйлдвэрийн эмийн сав, боодол, шошгыг ашиглаж хийсэн буюу тэдгээрийг адилтган хийж савласан эм	NM	эм
284	420	дууриамл эм	эрх бүхий үйлдвэрийн эмийн сав, боодол, шошгыг ашиглаж хийсэн буюу тэдгээрийг адилтган хийж савласан эм	NM	эм
282	639	нийтлэг осол	байгалийн онцгой аюул, давагдашгүй хүчин зүйлийн улмаас хөлөг онгоц, түүний ачаанд учирсан аюул	NM	осол
282	639	нийтлэг осл	байгалийн онцгой аюул, давагдашгүй хүчин зүйлийн улмаас хөлөг онгоц, түүний ачаанд учирсан аюул	NM	осол
282	639	нийтлг осл	байгалийн онцгой аюул, давагдашгүй хүчин зүйлийн улмаас хөлөг онгоц, түүний ачаанд учирсан аюул	NM	осол
282	639	нийтлг осол	байгалийн онцгой аюул, давагдашгүй хүчин зүйлийн улмаас хөлөг онгоц, түүний ачаанд учирсан аюул	NM	осол
281	1379	эд хариуцагч	төрийн болон орон нутгийн өмчийн эд хөрөнгийг бүртгэн авч хадгалах, түүнийг нэр төрөл, чанар, бүрдлийн хувьд бүрэн бүтэн байлгах, эрх бүхий албан тушаалтны шийдвэрээр тавьж олгох, үүрэг бүхий этгээд	NM	хариуцагч
278	938	төрийн ордон	монгол улсын төрийн эрх барих дээд байгууллага болон төрийн тэргүүн, гүйцэтгэх дээд байгууллага байнга байрлаж, үйл ажиллагаагаа явуулж байгаа барилгыг	NM	ордон
278	938	төр ордн	монгол улсын төрийн эрх барих дээд байгууллага болон төрийн тэргүүн, гүйцэтгэх дээд байгууллага байнга байрлаж, үйл ажиллагаагаа явуулж байгаа барилгыг	NM	ордон
278	938	төрь ордн	монгол улсын төрийн эрх барих дээд байгууллага болон төрийн тэргүүн, гүйцэтгэх дээд байгууллага байнга байрлаж, үйл ажиллагаагаа явуулж байгаа барилгыг	NM	ордон
